index,genre,budget,gross,runtime,rating,score
0,Drama,19000000.0,46998772.0,146.0,R,8.4
1,Adventure,4500000.0,58853106.0,104.0,R,5.8
2,Action,18000000.0,538375067.0,124.0,PG,8.7
3,Comedy,3500000.0,83453539.0,88.0,PG,7.7
4,Comedy,6000000.0,39846344.0,98.0,R,7.3
5,Horror,550000.0,39754601.0,95.0,R,6.4
6,Action,27000000.0,115229890.0,133.0,R,7.9
7,Biography,18000000.0,23402427.0,129.0,R,8.2
8,Action,54000000.0,108185706.0,127.0,PG,6.8
9,Biography,10000000.0,15795189.0,100.0,R,7.0
10,Action,15000000.0,70687344.0,116.0,PG,6.1
11,Adventure,5000000.0,30031783.0,109.0,PG,7.3
12,Adventure,20000000.0,49823037.0,114.0,PG,5.3
13,Drama,6000000.0,54766923.0,124.0,R,7.7
14,Crime,6500000.0,31899000.0,104.0,R,7.1
15,Drama,5100000.0,9709597.0,103.0,PG,7.2
16,Drama,,21202829.0,134.0,R,6.6
17,Comedy,10000000.0,103300686.0,109.0,PG,6.9
18,Horror,1000000.0,21448782.0,89.0,R,6.8
19,Comedy,,101300000.0,111.0,R,6.8
20,Crime,11000000.0,19814523.0,102.0,R,6.5
21,Adventure,44000000.0,3484523.0,219.0,R,6.8
22,Action,12000000.0,16647800.0,103.0,PG,6.7
23,Fantasy,20000000.0,22762571.0,96.0,PG,5.3
24,Drama,,46918287.0,132.0,PG,6.4
25,Horror,,19853892.0,102.0,R,6.9
26,Comedy,,34326249.0,96.0,R,6.5
27,Action,36000000.0,,115.0,PG,5.0
28,Crime,9000000.0,37121708.0,131.0,R,7.2
29,Crime,4800000.0,22743674.0,117.0,R,6.2
30,Comedy,,22482952.0,102.0,PG,7.1
31,Horror,,14796236.0,92.0,R,5.4
32,Action,,66132626.0,100.0,PG,5.3
33,Drama,5100000.0,534816.0,97.0,PG,6.1
34,Comedy,,43995918.0,102.0,PG,6.7
35,Comedy,10000000.0,69847348.0,109.0,R,6.2
36,Comedy,4000000.0,10000000.0,91.0,R,6.3
37,Comedy,3000000.0,6342668.0,101.0,R,6.0
38,Drama,,27118000.0,115.0,PG,5.9
39,Biography,,67182787.0,124.0,PG,7.5
40,Family,,5000000.0,84.0,PG,6.3
41,Drama,,,107.0,PG,7.9
42,Action,3500000.0,7063886.0,131.0,R,7.1
43,Biography,,6659377.0,99.0,R,6.6
44,Horror,,8415112.0,101.0,R,4.8
45,Comedy,,41675194.0,99.0,R,6.1
46,Action,22000000.0,15716828.0,109.0,R,5.3
47,Horror,300000.0,,82.0,R,4.6
48,Action,15000000.0,14662035.0,94.0,PG,5.1
49,Biography,35000000.0,,173.0,PG,8.3
50,Comedy,10000000.0,10389003.0,89.0,PG,7.3
51,Comedy,7000000.0,4309490.0,95.0,R,6.8
52,Biography,20000000.0,,124.0,PG,4.2
53,Action,6500000.0,24265659.0,116.0,PG,6.1
54,Comedy,,12516.0,139.0,R,7.0
55,Comedy,,,91.0,PG,6.7
56,Action,20000000.0,3763988.0,121.0,PG,4.6
57,Comedy,6000000.0,6216067.0,103.0,PG,5.4
58,Action,4000000.0,18971000.0,103.0,R,5.1
59,Sci-Fi,11000000.0,,97.0,PG,5.3
60,Adventure,,18000000.0,100.0,G,5.0
61,Drama,,14287755.0,123.0,PG,6.7
62,Comedy,,,91.0,R,5.5
63,Drama,,17815212.0,119.0,PG,6.3
64,Drama,,3910019.0,103.0,PG,7.3
65,Comedy,,7653061.0,93.0,PG,6.3
66,Comedy,900000.0,,150.0,PG,8.1
67,Comedy,,10697276.0,100.0,PG,5.1
68,Comedy,,9870727.0,86.0,R,6.6
69,Comedy,,15934737.0,98.0,PG,6.0
70,Comedy,,14155617.0,103.0,PG,4.7
71,Animation,,2013193.0,75.0,G,7.3
72,Comedy,,5215015.0,97.0,PG,5.5
73,Comedy,,4226370.0,106.0,PG,5.2
74,Comedy,,2086905.0,112.0,R,5.5
75,Adventure,6000000.0,11000000.0,97.0,G,5.8
76,Comedy,,6321392.0,103.0,PG,6.3
77,Comedy,5500000.0,4400000.0,115.0,R,5.9
78,Drama,,109749.0,95.0,,7.4
